기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20234,11545670,시흥1동,5535916,2635012,2900905,672143,690325,874998,879287,994491,1424672,790599,786336,783127,782810,785773,806487,800785
20234,11545680,시흥2동,1624352,733573,890780,387288,134408,196880,256510,237916,411350,232174,229988,229378,227857,224717,235830,244409
20234,11545690,시흥3동,1247762,615436,632326,182953,121650,184139,207028,220136,331855,180985,180100,180096,180244,178378,172291,175667
20234,11545700,시흥4동,2265635,1057753,1207882,310614,237609,328832,336575,404293,647712,326921,316552,311869,311999,310827,333301,354167
20234,11545710,시흥5동,3594487,1688829,1905658,482412,381774,498822,560018,649437,1022022,513239,505433,502961,503512,503614,527615,538112
20234,11560515,영등포본동,7086496,3511789,3574707,853996,1071923,1264409,1109641,1130299,1656227,1008753,995866,988155,985125,992682,1044565,1071349
20234,11560535,영등포동,11012045,5513847,5498198,922772,2391477,2564723,1745266,1483522,1904285,1519399,1527454,1541469,1551048,1611073,1681615,1579986
20234,11560540,여의동,6629458,3360176,3269281,850234,937106,1439259,1380501,962927,1059430,962700,1029479,1049185,1052847,1021770,788751,724726
20234,11560550,당산1동,7002683,3400428,3602255,597385,1197851,1604995,1204730,1063846,1333878,996055,1015856,1020548,1024550,1031649,979319,934707
20234,11560560,당산2동,8646353,4093655,4552697,1236618,1551969,1942189,1428661,1064673,1422243,1233963,1251883,1259951,1259762,1261803,1205965,1173027
20234,11560585,도림동,5412501,2596889,2815612,637783,703285,971699,854501,891450,1353783,769295,748071,742194,745545,743849,810160,853387
20234,11560605,문래동,9126833,4463294,4663538,1179294,1226456,1819066,1817019,1368934,1716063,1299076,1328626,1343434,1343706,1360857,1262879,1188255
20234,11560610,양평1동,5394523,2676407,2718115,680086,827980,1203748,1035758,745696,901255,791166,809602,811611,812987,800211,688720,680228
20234,11560620,양평2동,5019998,2553466,2466533,651099,798833,1231868,917532,678743,741924,730514,750963,758392,754665,744767,646473,634223
20234,11560630,신길1동,5627921,2714225,2913696,648552,882629,1016185,872717,823363,1384474,808730,798112,792953,792362,792509,813631,829624
20234,11560650,신길3동,6293623,2991732,3301891,990818,704290,932102,935595,1074093,1656726,897813,877352,877483,875817,875720,929693,959745
20234,11560660,신길4동,2742522,1324031,1418492,347150,315811,434191,450520,434791,760059,394823,382520,380812,381116,380886,403984,418383
20234,11560670,신길5동,3273749,1512144,1761605,449809,312550,522083,575295,561888,852126,469811,461685,458666,459128,458574,474276,491609
20234,11560680,신길6동,5470400,2484344,2986055,994755,722253,910501,921902,811500,1109487,780243,775158,776303,771122,773668,793563,800342
20234,11560690,신길7동,4160553,1916239,2244315,777757,564686,674874,693919,609555,839761,588889,585845,587284,589585,592342,612890,603718
20234,11560700,대림1동,4534442,2148214,2386226,417534,511689,704265,746931,881703,1272318,647585,628773,631907,624998,624933,663895,712351
20234,11560710,대림2동,5560264,2765357,2794906,378541,599874,977245,1022084,1175119,1407398,795623,767976,763667,768113,766118,808101,890667
20234,11560720,대림3동,7267612,3560435,3707176,651081,919650,1285153,1228911,1360516,1822301,1036400,1022212,1017979,1017142,1024958,1056088,1092834
20234,11590510,노량진1동,6456123,3349656,3106468,698368,1801969,1223274,847868,757742,1126902,914129,909962,911925,909536,918680,962380,929512
20234,11590520,노량진2동,3461298,1734464,1726834,302756,757211,619300,472324,499255,810454,493521,491234,494034,493380,495434,503426,490269
20234,11590530,상도1동,7929561,3740500,4189060,1249309,2150721,1043610,1012264,948555,1525101,1132980,1129668,1128492,1126759,1108172,1153658,1149831
20234,11590540,상도2동,4894394,2251085,2643310,956703,724422,754394,790895,658089,1009892,702148,698848,694147,696085,695775,706385,701008
20234,11590550,상도3동,4779151,2182669,2596483,674031,746678,807492,726611,659769,1164570,682458,665913,656766,656733,657020,718192,742070
20234,11590560,상도4동,5196453,2379923,2816531,941196,698717,839462,781161,726175,1209742,747331,729643,724226,727601,724845,757549,785258
